query_event_id,statement_embedding_backend,neighbor_rank,neighbor_event_id,hard_filter_z_threshold_used,hard_filter_pool_size,shock_cosine,evidence_cosine,embedding_cosine,neighbor_date,neighbor_SPY_ret,neighbor_GLD_ret,neighbor_QQQ_ret,neighbor_UUP_ret
FOMC_0426,api,1,FOMC_0429,1.5,28,0.9135002783911396,0.2515768636979021,0.9361469365616948,2001-10-02,0.0126,,0.0031,
FOMC_0426,api,2,FOMC_0439,1.5,28,0.9486832980505139,0.2708695420225515,0.8723104435523907,2001-04-18,0.0397,,0.1042,
FOMC_0426,api,3,FOMC_0437,1.5,28,0.8082903768654761,0.18408102142192717,0.8598749264095725,2001-05-15,0.0046,,0.0074,
FOMC_0429,api,1,FOMC_0426,1.5,25,0.9135002783911396,0.2515768636979021,0.9361469365616948,2001-11-06,0.0155,,0.0388,
FOMC_0429,api,2,FOMC_0430,1.5,25,0.798489954161323,0.13339695802464213,0.9098993914167087,2001-09-17,-0.0522,,-0.0852,
FOMC_0429,api,3,FOMC_0439,1.5,25,0.919145030018058,0.18579127941587315,0.8514199219166256,2001-04-18,0.0397,,0.1042,
FOMC_0430,api,1,FOMC_0426,1.5,9,0.6708203932499369,0.09577249922645426,0.9128284161706703,2001-11-06,0.0155,,0.0388,
FOMC_0430,api,2,FOMC_0429,1.5,9,0.798489954161323,0.13339695802464213,0.9098993914167087,2001-10-02,0.0126,,0.0031,
FOMC_0430,api,3,FOMC_0410,1.5,9,0.8592468124734376,0.12047643150454826,0.8304081668121639,2002-11-06,0.013,,0.0142,
FOMC_0434,api,1,FOMC_0426,1.5,35,0.9486832980505137,0.14920597874796768,0.9189571167330131,2001-11-06,0.0155,,0.0388,
FOMC_0434,api,2,FOMC_0429,1.5,35,0.9191450300180578,0.07017323781555482,0.9095272570322295,2001-10-02,0.0126,,0.0031,
FOMC_0434,api,3,FOMC_0437,1.5,35,0.7302967433402214,0.47216544316439424,0.8932167486798794,2001-05-15,0.0046,,0.0074,
FOMC_0436,api,1,FOMC_0424,1.5,31,0.8320502943378437,0.14047926563434007,0.9352314585110422,2001-12-11,-0.002,,0.0056,
FOMC_0436,api,2,FOMC_0463,1.5,31,0.7071067811865475,0.12098279024467506,0.8040528646251391,2000-02-02,0.0009,,0.0085,
FOMC_0436,api,3,FOMC_0380,1.5,31,0.8703882797784892,0.10254664319902736,0.7839967476322749,2004-06-30,0.0054,,0.0097,
FOMC_0437,api,1,FOMC_0439,1.5,29,0.7302967433402215,0.15248833560394112,0.9434497537351962,2001-04-18,0.0397,,0.1042,
FOMC_0437,api,2,FOMC_0434,1.5,29,0.7302967433402214,0.47216544316439424,0.8932167486798794,2001-08-21,-0.0171,,-0.0415,
FOMC_0437,api,3,FOMC_0443,1.5,29,0.7302967433402215,0.21496129716753765,0.8870831365527752,2001-03-20,-0.0268,,-0.0673,
FOMC_0439,api,1,FOMC_0437,1.5,30,0.7302967433402215,0.15248833560394112,0.9434497537351962,2001-05-15,0.0046,,0.0074,
FOMC_0439,api,2,FOMC_0443,1.5,30,1.0000000000000002,0.15883727622770236,0.888861221564535,2001-03-20,-0.0268,,-0.0673,
FOMC_0439,api,3,FOMC_0426,1.5,30,0.9486832980505139,0.2708695420225515,0.8723104435523907,2001-11-06,0.0155,,0.0388,
FOMC_0443,api,1,FOMC_0437,1.5,21,0.7302967433402215,0.21496129716753765,0.8870831365527752,2001-05-15,0.0046,,0.0074,
FOMC_0443,api,2,FOMC_0445,1.5,21,1.0000000000000002,0.18060558053243286,0.8774542933965681,2001-01-31,-0.0057,,-0.0367,
FOMC_0443,api,3,FOMC_0446,1.5,21,0.8728715609439694,0.2715422809860264,0.8641970783652747,2001-01-03,0.0481,,0.1685,
FOMC_0445,api,1,FOMC_0446,1.5,43,0.8728715609439694,0.34944043909493216,0.9070542402558375,2001-01-03,0.0481,,0.1685,
FOMC_0445,api,2,FOMC_0443,1.5,43,1.0000000000000002,0.18060558053243286,0.8774542933965681,2001-03-20,-0.0268,,-0.0673,
FOMC_0445,api,3,FOMC_0439,1.5,43,1.0000000000000002,0.1288064985188709,0.8681208770908113,2001-04-18,0.0397,,0.1042,
FOMC_0446,api,1,FOMC_0445,1.5,17,0.8728715609439694,0.34944043909493216,0.9070542402558375,2001-01-31,-0.0057,,-0.0367,
FOMC_0446,api,2,FOMC_0436,1.5,17,-0.7715167498104595,0.11069978180306628,0.8773962267494053,2001-06-27,-0.0006,,0.0065,
FOMC_0446,api,3,FOMC_0437,1.5,17,0.8765009801785553,0.15282398108109538,0.8651140443997973,2001-05-15,0.0046,,0.0074,
FOMC_0449,api,1,FOMC_0450,1.5,15,0.3212462831016178,0.21387072892993125,0.8790990736683365,2000-11-15,0.0032,,0.0201,
FOMC_0449,api,2,FOMC_0455,1.5,15,2.6172043529646267e-17,0.2651155715949633,0.8654627694347496,2000-08-22,-0.0017,,0.0,
FOMC_0449,api,3,FOMC_0453,1.5,15,-0.23693955110363696,0.26226674432404523,0.8637528806480406,2000-10-03,-0.0093,,-0.0317,
FOMC_0450,api,1,FOMC_0453,1.5,15,0.7592566023652966,0.4348916639462231,0.941723702566355,2000-10-03,-0.0093,,-0.0317,
FOMC_0450,api,2,FOMC_0457,1.5,15,0.40533961419994047,0.4070056400880769,0.9317761162913296,2000-06-28,0.0028,,0.0121,
FOMC_0450,api,3,FOMC_0455,1.5,15,0.8574929257125441,0.3821068781979049,0.9203665344897851,2000-08-22,-0.0017,,0.0,
FOMC_0453,api,1,FOMC_0457,1.5,26,0.2491364395612199,0.5515396071966516,0.9512056006042364,2000-06-28,0.0028,,0.0121,
FOMC_0453,api,2,FOMC_0450,1.5,26,0.7592566023652966,0.4348916639462231,0.941723702566355,2000-11-15,0.0032,,0.0201,
FOMC_0453,api,3,FOMC_0455,1.5,26,0.9486832980505137,0.536522550074848,0.9252124589950266,2000-08-22,-0.0017,,0.0,
FOMC_0455,api,1,FOMC_0457,1.5,27,0.39391929857916763,0.6479167844935751,0.9684375215394689,2000-06-28,0.0028,,0.0121,
FOMC_0455,api,2,FOMC_0453,1.5,27,0.9486832980505137,0.536522550074848,0.9252124589950266,2000-10-03,-0.0093,,-0.0317,
FOMC_0455,api,3,FOMC_0450,1.5,27,0.8574929257125441,0.3821068781979049,0.9203665344897851,2000-11-15,0.0032,,0.0201,
FOMC_0457,api,1,FOMC_0455,1.5,31,0.39391929857916763,0.6479167844935751,0.9684375215394689,2000-08-22,-0.0017,,0.0,
FOMC_0457,api,2,FOMC_0453,1.5,31,0.2491364395612199,0.5515396071966516,0.9512056006042364,2000-10-03,-0.0093,,-0.0317,
FOMC_0457,api,3,FOMC_0450,1.5,31,0.40533961419994047,0.4070056400880769,0.9317761162913296,2000-11-15,0.0032,,0.0201,
FOMC_0459,api,1,FOMC_0463,1.5,17,0.9899494936611665,0.29271972639644384,0.9780404203330075,2000-02-02,0.0009,,0.0085,
FOMC_0459,api,2,FOMC_0461,1.5,17,0.8,0.31333535492008624,0.9727995837993271,2000-03-21,0.0205,,0.0377,
FOMC_0459,api,3,FOMC_0353,1.5,17,-0.7155417527999327,0.1731622117447661,0.8452397908853004,2006-01-31,-0.0073,0.0004,-0.0045,
FOMC_0461,api,1,FOMC_0463,1.5,31,0.7071067811865475,0.5232611042557601,0.9816198121867816,2000-02-02,0.0009,,0.0085,
FOMC_0461,api,2,FOMC_0459,1.5,31,0.8,0.31333535492008624,0.9727995837993271,2000-05-16,0.0097,,0.0283,
FOMC_0461,api,3,FOMC_0355,1.5,31,0.5547001962252291,0.14367118817377317,0.828763738474105,2005-12-13,0.0068,-0.0173,0.0043,
FOMC_0463,api,1,FOMC_0461,1.5,20,0.7071067811865475,0.5232611042557601,0.9816198121867816,2000-03-21,0.0205,,0.0377,
FOMC_0463,api,2,FOMC_0459,1.5,20,0.9899494936611665,0.29271972639644384,0.9780404203330075,2000-05-16,0.0097,,0.0283,
FOMC_0463,api,3,FOMC_0436,1.5,20,0.7071067811865475,0.12098279024467506,0.8040528646251391,2001-06-27,-0.0006,,0.0065,
