query_event_id,query_index,semantic_embedding_backend,neighbor_rank,neighbor_event_id,hard_filter_z_threshold_used,hard_filter_pool_size,shock_combo_score,shock_cosine,shock_l2_distance,macro_mean_abs_z_diff,evidence_cosine,embedding_cosine_semantic,similarity_for_baseline,neighbor_date,neighbor_SPY_ret,neighbor_GLD_ret,neighbor_QQQ_ret,neighbor_UUP_ret
FOMC_0002,0,api,1,FOMC_0013,1.5,30,0.5607018468578079,0.6666666666666666,0.816496580927726,0.13998255434970275,0.117151008939887,0.9257289081727473,0.9257299081727474,2025-06-18,-0.0002,-0.0053856275650212,-0.0002,0.0018
FOMC_0002,0,api,2,FOMC_0027,1.5,30,0.5035299873849924,0.5659164584181102,0.9317548406977983,0.34953504238605,0.09373134562034525,0.9224613611749748,0.9224623611749748,2024-07-31,0.0163,0.0181,0.0296,-0.0055
FOMC_0002,0,api,3,FOMC_0011,1.5,30,0.6943758295275791,0.9245003270420485,0.38858634293539307,0.1921045094062789,0.10760940573016273,0.9211134396903721,0.9211144396903721,2025-07-30,-0.0013,-0.0172734972895408,0.0013,0.0098
FOMC_0003,1,api,1,FOMC_0019,1.5,27,0.5983404065166171,0.7647058823529411,0.6859943405700354,0.2610285275994608,0.293914405094178,0.9663399271857824,0.9663409271857825,2025-01-29,-0.0045,-0.0038404097330004,-0.0019,0.002
FOMC_0003,1,api,2,FOMC_0036,1.5,27,0.5979990688583207,0.7756315349925287,0.669878294927476,0.34727368732035013,0.12785100252542667,0.959995339029209,0.959996339029209,2024-01-31,-0.0163,-0.0007,-0.0196,0.0025
FOMC_0003,1,api,3,FOMC_0033,1.5,27,0.47017507906497347,0.48507125007266594,1.014818949298183,0.35813071634884686,0.1068073148111695,0.9598287333404176,0.9598297333404177,2024-03-20,0.0092,0.0119,0.0119,-0.0046
FOMC_0005,2,api,1,FOMC_0007,1.5,28,0.5180590013177019,0.5547001962252291,0.9437158510640488,0.06206801571801425,0.33251440555518413,0.9759805411479854,0.9759815411479854,2025-10-29,0.0005,-0.0037872684129753,0.0045,0.0057
FOMC_0005,2,api,2,FOMC_0026,1.5,28,0.5258406609151848,0.5962847939999439,0.898571317147455,0.20553051682969592,0.14662360774187172,0.9697316269610171,0.9697326269610171,2024-09-18,-0.003,-0.0077104654052888,-0.0043,0.0011
FOMC_0005,2,api,3,FOMC_0009,1.5,28,0.5519279677068422,0.6320816298242098,0.8578092680494775,0.04389756972156396,0.2912185378894711,0.9680403761465208,0.9680413761465209,2025-09-17,-0.0012,-0.0077151716641871,-0.002,0.0033
FOMC_0007,3,api,1,FOMC_0005,1.5,31,0.5180590013177019,0.5547001962252291,0.9437158510640488,0.06206801571801425,0.33251440555518413,0.9759805411479854,0.9759815411479854,2025-12-10,0.0066,0.004259147967166,0.0041,-0.0053
