query_event_id,statement_embedding_backend,neighbor_rank,neighbor_event_id,hard_filter_z_threshold_used,hard_filter_pool_size,shock_cosine,evidence_cosine,embedding_cosine,neighbor_date,neighbor_SPY_ret,neighbor_GLD_ret,neighbor_QQQ_ret,neighbor_UUP_ret
FOMC_0198,svd,2,FOMC_0209,1.5,74,0.7687061147858074,0.1148680623602739,0.544332376249148,2013-09-18,0.0116,0.0436,0.0121,-0.0114
FOMC_0198,svd,3,FOMC_0214,1.5,74,0.8320502943378437,0.1787372412851131,0.4502888843825386,2013-05-01,-0.0088,-0.0116,-0.0047,-0.0009
FOMC_0201,svd,1,FOMC_0194,1.5,72,0.7071067811865475,0.6901959509152898,0.7618949126206801,2014-06-18,0.0073,0.0032,0.0056,-0.0032
FOMC_0201,svd,2,FOMC_0192,1.5,72,0.0,0.41526324029826245,0.6762418698225132,2014-07-30,0.0002,-0.003,0.0039,0.0023
FOMC_0201,svd,3,FOMC_0191,1.5,72,0.0,0.27523403599280866,0.6460430530319441,2014-09-17,0.0013,-0.0109,0.0015,0.0063
FOMC_0203,svd,1,FOMC_0196,1.5,62,0.5144957554275265,0.29912432664778904,0.7158755812482374,2014-04-30,0.003,-0.0051,0.0026,-0.0028
FOMC_0203,svd,2,FOMC_0198,1.5,62,0.8561726894780893,0.20454772152474696,0.7065263512248523,2014-03-19,-0.0053,-0.0194,-0.0054,0.0075
FOMC_0203,svd,3,FOMC_0209,1.5,62,0.6581451817144175,0.13351924617632555,0.7036895950948454,2013-09-18,0.0116,0.0436,0.0121,-0.0114
FOMC_0206,svd,1,FOMC_0209,1.5,76,0.7106690545187014,0.5481393082954973,0.9466469468591208,2013-09-18,0.0116,0.0436,0.0121,-0.0114
FOMC_0206,svd,2,FOMC_0219,1.5,76,0.9428090415820632,0.09268731285568661,0.6759209203891633,2013-01-30,-0.0039,0.0075,-0.0021,-0.0041
FOMC_0206,svd,3,FOMC_0196,1.5,76,0.6666666666666666,0.20211266627677618,0.561017315692896,2014-04-30,0.003,-0.0051,0.0026,-0.0028
FOMC_0209,svd,1,FOMC_0206,1.5,76,0.7106690545187014,0.5481393082954973,0.9466469468591208,2013-10-30,-0.005,-0.0013,-0.001,0.0019
FOMC_0209,svd,2,FOMC_0203,1.5,76,0.6581451817144175,0.13351924617632555,0.7036895950948454,2013-12-18,0.0171,-0.0088,0.0117,0.0042
FOMC_0209,svd,3,FOMC_0219,1.5,76,0.753778361444409,0.13319518357735763,0.6743969551921917,2013-01-30,-0.0039,0.0075,-0.0021,-0.0041
FOMC_0211,svd,1,FOMC_0219,1.5,72,0.5669467095138409,0.1237979451495363,0.7610800074889764,2013-01-30,-0.0039,0.0075,-0.0021,-0.0041
FOMC_0211,svd,2,FOMC_0206,1.5,72,0.5345224838248488,0.3409744342065853,0.7580636774048815,2013-10-30,-0.005,-0.0013,-0.001,0.0019
FOMC_0211,svd,3,FOMC_0196,1.5,72,0.5345224838248488,0.11834171088386261,0.49546975796990367,2014-04-30,0.003,-0.0051,0.0026,-0.0028
FOMC_0213,svd,1,FOMC_0211,1.5,73,-2.7746927558460947e-17,0.09991557393095227,0.8945105116177525,2013-07-31,0.0007,-0.0012,0.0019,-0.0027
FOMC_0213,svd,2,FOMC_0201,1.5,73,0.6546536707079772,0.1906561584916372,0.5779295695522488,2014-01-29,-0.0096,0.0126,-0.0108,0.0
FOMC_0213,svd,3,FOMC_0194,1.5,73,0.7715167498104595,0.14729231661723685,0.4744134468297445,2014-06-18,0.0073,0.0032,0.0056,-0.0032
FOMC_0214,svd,1,FOMC_0221,1.5,54,0.6804138174397717,0.14542496722768644,0.7179651566156177,2012-12-12,0.0005,0.0007,-0.0021,-0.0018
FOMC_0214,svd,2,FOMC_0209,1.5,54,0.6396021490668313,0.22713115167866502,0.7071048054860524,2013-09-18,0.0116,0.0436,0.0121,-0.0114
FOMC_0214,svd,3,FOMC_0203,1.5,54,0.6859943405700353,0.3325823764173957,0.5934719012282126,2013-12-18,0.0171,-0.0088,0.0117,0.0042
FOMC_0217,svd,1,FOMC_0203,1.5,61,0.6859943405700353,0.163616120089834,0.5848270928557492,2013-12-18,0.0171,-0.0088,0.0117,0.0042
FOMC_0217,svd,2,FOMC_0222,1.5,61,0.4714045207910316,0.1526253471360349,0.48968498862742854,2012-10-24,-0.0028,-0.0034,-0.0035,0.0
FOMC_0217,svd,3,FOMC_0196,1.5,61,0.6666666666666666,0.17845648839922354,0.4470275298637593,2014-04-30,0.003,-0.0051,0.0026,-0.0028
FOMC_0219,svd,1,FOMC_0211,1.5,50,0.5669467095138409,0.1237979451495363,0.7610800074889764,2013-07-31,0.0007,-0.0012,0.0019,-0.0027
FOMC_0219,svd,2,FOMC_0209,1.5,50,0.753778361444409,0.13319518357735763,0.6743969551921917,2013-09-18,0.0116,0.0436,0.0121,-0.0114
