asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
GLD_ret,regression,baseline,120,0.4666666666666667,0.4511784511784512,0.010511245956046088,0.013491728626851315,0.9166666666666666,0.05244216747275722,0.04859365482828906,0.02622108373637861,4.989148545476893
GLD_ret,regression,shock_main,120,0.5166666666666667,0.5016835016835017,0.010233777359172646,0.013085728660295365,0.9083333333333333,0.049647464900135656,0.048358601351310745,0.024823732450067828,4.851333301250304
GLD_ret,regression,shock_interactions,120,0.43333333333333335,0.42087542087542085,0.01049605380987478,0.01368118115415863,0.9,0.05204904737637048,0.04874643866681784,0.02602452368818524,4.958915828670988
GLD_ret,regression,rag_memory,120,0.5166666666666667,0.49663299663299665,0.010435745159372404,0.013689113058065428,0.925,0.05468373151602622,0.05468951178628528,0.02734186575801311,5.240040905647685
GLD_ret,regression,shock_rag,120,0.475,0.45875420875420875,0.010490158670724427,0.013842119896344542,0.9083333333333333,0.05314976624434934,0.052355379060393614,0.02657488312217467,5.066631298216477
GLD_ret,regression,case_model,120,0.55,0.531986531986532,0.010702283050452475,0.01419499410163422,0.9166666666666666,0.05503707676808401,0.053545062491269876,0.027518538384042005,5.142554771596807
GLD_ret,regression,fusion,120,0.5083333333333333,0.4941077441077441,0.010629647700160826,0.014088543816115734,0.9083333333333333,0.05358297352822946,0.05287699629729886,0.02679148676411473,5.0408983476864195
GLD_ret,regression,fusion_case,120,0.5,0.48316498316498313,0.010510168821534997,0.01381659594232653,0.8833333333333333,0.05232091637530365,0.049142015720605316,0.026160458187651826,4.978123307410608
QQQ_ret,regression,baseline,148,0.5472972972972973,0.48468720821662,0.012613116922813791,0.019894297511824074,0.8986486486486487,0.07105879603631098,0.05987364801109439,0.03552939801815549,5.633722137926464
QQQ_ret,regression,shock_main,148,0.5675675675675675,0.5105508870214752,0.012987397260020812,0.021147749172921816,0.8648648648648649,0.07325925247653993,0.062126974764309034,0.036629626238269965,5.640795535072632
QQQ_ret,regression,shock_interactions,148,0.5540540540540541,0.49262371615312794,0.01314173241076384,0.02128581517077257,0.9054054054054054,0.07176902958471595,0.060047289769597875,0.03588451479235798,5.461154385241703
QQQ_ret,regression,rag_memory,148,0.527027027027027,0.4834733893557423,0.013129906702752983,0.020600255251728393,0.9256756756756757,0.07791964393228833,0.058287507284162154,0.03895982196614416,5.934516192407575
QQQ_ret,regression,shock_rag,148,0.5337837837837838,0.49140989729225026,0.012836617786190848,0.020617444996480407,0.918918918918919,0.07561785500195585,0.05976523636804769,0.037808927500977925,5.890792750977029
QQQ_ret,regression,case_model,148,0.4189189189189189,0.3996265172735761,0.013433772361016358,0.020323200663934043,0.8986486486486487,0.0716071430122966,0.06315787720043439,0.0358035715061483,5.3303823444332235
