asset_target,feature_set,task,feature,weight,gain,cover,total_gain,total_cover,weight_share,gain_share,cover_share,total_gain_share,total_cover_share,rank_by_gain
GLD_ret,fusion,regression,DX-Y.NYB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
GLD_ret,fusion,regression,QQQ_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
GLD_ret,fusion,regression,SPY_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
GLD_ret,fusion,regression,UNRATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
GLD_ret,fusion,regression,UUP_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
GLD_ret,fusion,regression,^VIX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
GLD_ret,fusion,regression,case_avg_similarity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
GLD_ret,fusion,regression,case_max_similarity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
GLD_ret,fusion,regression,case_neighbor_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
GLD_ret,fusion,regression,case_pred_GLD_ret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
GLD_ret,fusion,regression,case_similarity_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
GLD_ret,fusion,regression,case_std_GLD_ret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
GLD_ret,fusion,regression,case_up_prob_GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
GLD_ret,fusion,regression,curve_inversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
GLD_ret,fusion,regression,financial_stability_conf_num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
GLD_ret,fusion,regression,financial_stability_dir_num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
GLD_ret,fusion,regression,financial_stability_dovish_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
GLD_ret,fusion,regression,financial_stability_hawkish_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
GLD_ret,fusion,regression,financial_stability_shock_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
GLD_ret,fusion,regression,financial_stability_shock_score_x_case_similarity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
GLD_ret,fusion,regression,financial_stability_shock_score_x_curve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
GLD_ret,fusion,regression,financial_stability_shock_score_x_high_vix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
GLD_ret,fusion,regression,financial_stability_shock_score_x_inversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
GLD_ret,fusion,regression,financial_stability_strength_num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
GLD_ret,fusion,regression,growth_concern_conf_num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
GLD_ret,fusion,regression,growth_concern_dir_num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
GLD_ret,fusion,regression,growth_concern_dovish_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
GLD_ret,fusion,regression,growth_concern_hawkish_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
GLD_ret,fusion,regression,growth_concern_shock_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
GLD_ret,fusion,regression,growth_concern_shock_score_minus_rolling_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
GLD_ret,fusion,regression,growth_concern_shock_score_x_case_similarity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
GLD_ret,fusion,regression,growth_concern_shock_score_x_curve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
