asset_target,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
GLD_ret,baseline,120,0.5083333333333333,0.49242424242424243,0.011329694412345048,0.014627005952525078,0.9,0.05561950645765775,0.05113221679769324,0.027809753228828876,4.909179756609648
GLD_ret,shock_main,120,0.5583333333333333,0.5395622895622896,0.010650959973755899,0.014071522380017451,0.925,0.055968487238498794,0.05039009197823205,0.027984243619249397,5.254783360035702
GLD_ret,shock_interactions,120,0.5166666666666667,0.5050505050505051,0.011256992001660941,0.014654799038045965,0.9083333333333333,0.057360201649713435,0.0565696119442492,0.028680100824856718,5.0955176694848925
GLD_ret,rag_memory,120,0.5583333333333333,0.5429292929292929,0.011277052300112975,0.015031854106197378,0.9083333333333333,0.058878533953313134,0.05702407631177689,0.029439266976656567,5.221092568021811
GLD_ret,shock_rag,120,0.525,0.5109427609427609,0.011157820859515173,0.014524760045461153,0.9,0.055814522557461464,0.04704034382363338,0.027907261278730732,5.002278066676785
GLD_ret,case_model,120,0.55,0.531986531986532,0.010702283050452475,0.01419499410163422,0.9166666666666666,0.05503707676808401,0.053545062491269876,0.027518538384042005,5.142554771596807
GLD_ret,fusion,120,0.5333333333333333,0.5218855218855218,0.011433453094246537,0.0148493999152282,0.9,0.05613794311905911,0.054101236155802715,0.028068971559529556,4.909972748942177
GLD_ret,fusion_case,120,0.5,0.48316498316498313,0.011185488995779223,0.014376497077364218,0.8916666666666667,0.05324479068930496,0.04930213904152811,0.02662239534465248,4.760166561282798
QQQ_ret,baseline,148,0.47297297297297297,0.4199813258636788,0.013479347301399092,0.020761847102684076,0.8986486486486487,0.07461918374647077,0.06359513972736772,0.03730959187323538,5.535815798642242
QQQ_ret,shock_main,148,0.5405405405405406,0.48702147525676937,0.01319488188736697,0.02127326284186477,0.8851351351351351,0.07590905431257929,0.06628326414920473,0.03795452715628964,5.752916544501702
QQQ_ret,shock_interactions,148,0.5135135135135135,0.46760037348272643,0.013343109709383941,0.02077741503908009,0.8918918918918919,0.0728027046057218,0.06353513525107732,0.0364013523028609,5.456202204087487
QQQ_ret,rag_memory,148,0.6013513513513513,0.5707749766573296,0.013095040905618137,0.01990006484165682,0.8918918918918919,0.07186007760608758,0.0633919478272182,0.03593003880304379,5.487579467984526
QQQ_ret,shock_rag,148,0.6081081081081081,0.5746031746031746,0.013454660813622316,0.02106077725005713,0.9054054054054054,0.07710889330742031,0.0655450307254821,0.038554446653710155,5.731017256811898
QQQ_ret,case_model,148,0.4189189189189189,0.3996265172735761,0.013433772361016358,0.020323200663934043,0.8986486486486487,0.0716071430122966,0.06315787720043439,0.0358035715061483,5.3303823444332235
