segment,segment_start,segment_end,asset_target,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2008_2015,2008-01-01,2015-12-31,GLD_ret,baseline,35,0.4,0.38095238095238093,0.013480496727090506,0.017009908871126394,0.8285714285714286,0.0613670545428386,0.04485285734884183,0.0306835272714193,4.552284369426455
2008_2015,2008-01-01,2015-12-31,GLD_ret,shock_main,35,0.5142857142857142,0.5,0.012302657391379678,0.01634657157719065,0.8857142857142857,0.06266505606056856,0.04485285734884183,0.03133252803028428,5.0936195382045835
2008_2015,2008-01-01,2015-12-31,GLD_ret,shock_interactions,35,0.42857142857142855,0.41666666666666663,0.012656006162934295,0.017124602725353922,0.8571428571428571,0.06101047556190317,0.04485285734884184,0.030505237780951586,4.820673660904562
2008_2015,2008-01-01,2015-12-31,GLD_ret,rag_memory,35,0.5428571428571428,0.5357142857142857,0.012998291297010526,0.017085727767326548,0.8571428571428571,0.060201911097778525,0.04485285734884183,0.030100955548889263,4.63152499987628
2008_2015,2008-01-01,2015-12-31,GLD_ret,shock_rag,35,0.5428571428571428,0.5238095238095238,0.01256411216725862,0.01638810388474464,0.8857142857142857,0.05832970051481249,0.04485285734884183,0.029164850257406245,4.642564451694124
2008_2015,2008-01-01,2015-12-31,GLD_ret,case_model,35,0.37142857142857144,0.36904761904761907,0.013280915235115952,0.017068933633611373,0.8857142857142857,0.06179355323292348,0.04485285734884183,0.03089677661646174,4.652808344829706
2008_2015,2008-01-01,2015-12-31,GLD_ret,fusion,35,0.4857142857142857,0.4642857142857143,0.012704648029042961,0.016735689709974064,0.8857142857142857,0.0606338296196879,0.04485285734884183,0.03031691480984395,4.772570596295019
2008_2015,2008-01-01,2015-12-31,GLD_ret,fusion_case,35,0.34285714285714286,0.3214285714285714,0.012637565780158268,0.016372633381221996,0.8571428571428571,0.06014916955500272,0.04485285734884183,0.03007458477750136,4.759553429936681
2008_2015,2008-01-01,2015-12-31,QQQ_ret,baseline,63,0.5238095238095238,0.4125,0.013360729273924725,0.019463831652299892,0.9206349206349206,0.09322650056032657,0.08338326168437443,0.04661325028016328,6.977650594438039
2008_2015,2008-01-01,2015-12-31,QQQ_ret,shock_main,63,0.6031746031746031,0.49347826086956526,0.012362700795987704,0.019858484678646607,0.9365079365079365,0.0983962443713486,0.08112017974893457,0.0491981221856743,7.959122039359147
