asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
GLD_ret,regression,baseline,120,0.6083333333333333,0.5833333333333334,0.0101866599495722,0.0132819084966608,0.925,0.0537532432471957,0.0478786763849587,0.0268766216235978,5.276827096741653
GLD_ret,regression,shock_main,120,0.5,0.4814814814814814,0.0123523557586044,0.0153036046353806,0.8916666666666667,0.0586692295609835,0.0585508875176099,0.0293346147804917,4.749638911599161
GLD_ret,regression,shock_interactions,120,0.4666666666666667,0.4528619528619528,0.0124753524090398,0.015590907842572,0.9083333333333332,0.0596761610367697,0.0654612807076056,0.0298380805183848,4.783525072488337
GLD_ret,regression,rag_memory,120,0.5833333333333334,0.5538720538720538,0.0108584813815799,0.0140771103248118,0.9166666666666666,0.0554540273056473,0.0507315964065952,0.0277270136528236,5.106978163605646
GLD_ret,regression,shock_rag,120,0.5333333333333333,0.5117845117845118,0.0128005521552058,0.0159952164307361,0.9166666666666666,0.0603561897129164,0.0632527177702561,0.0301780948564582,4.715123924429308
GLD_ret,regression,case_model,120,0.55,0.531986531986532,0.0107022830504524,0.0141949941016342,0.9166666666666666,0.055037076768084,0.0535450624912698,0.027518538384042,5.142554771596807
GLD_ret,regression,fusion,120,0.5,0.4814814814814814,0.0131183821207598,0.0164555453837691,0.9083333333333332,0.0628651351720417,0.0605030398806498,0.0314325675860208,4.792140874792608
GLD_ret,regression,fusion_case,120,0.525,0.5025252525252526,0.0123307904497468,0.0155564349264847,0.9,0.0608729995000719,0.0636164408262312,0.0304364997500359,4.936666448769429
QQQ_ret,regression,baseline,148,0.4864864864864865,0.4872082166199813,0.0139879146818869,0.0210277754248203,0.8783783783783784,0.0685826105703898,0.0596087343020923,0.0342913052851949,4.902990340597215
QQQ_ret,regression,shock_main,148,0.5202702702702703,0.5207282913165266,0.0157260418092922,0.0221704715377784,0.918918918918919,0.0801940103421161,0.0690380657253002,0.040097005171058,5.099440235160191
QQQ_ret,regression,shock_interactions,148,0.4864864864864865,0.4851540616246498,0.0160754245318915,0.023785761416401,0.9121621621621622,0.0834915782448202,0.07272414526211,0.0417457891224101,5.1937401764528115
